About to call state.ingest() with payload={'playerId': 'test_driver', 'latitude': 36.8065, 'longitude': 10.1815, 'speedKmh': 50.0, 'angleDeg': 90.0, 'ignition': True, 'source': 'test'}
About to call state.ingest() with payload={'playerId': 'test_driver', 'latitude': 36.8065, 'longitude': 10.1815, 'speedKmh': 50.0, 'angleDeg': 90.0, 'ignition': True, 'source': 'test'}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 41.213012695312, 'source': 'mta', 'longitude': 10.174493287354, 'latitude': 36.815964451294, 'ignition': True, 'speedKmh': 1.057575971757}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 41.2197265625, 'source': 'mta', 'longitude': 10.174489663696, 'latitude': 36.815968760986, 'ignition': True, 'speedKmh': 15.081051544049}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 41.38623046875, 'source': 'mta', 'longitude': 10.174478855591, 'latitude': 36.815980990601, 'ignition': True, 'speedKmh': 29.661418403244}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 41.512084960938, 'source': 'mta', 'longitude': 10.17446135437, 'latitude': 36.816000811768, 'ignition': True, 'speedKmh': 42.964075665144}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 39.370483398438, 'source': 'mta', 'longitude': 10.174438598022, 'latitude': 36.816027858887, 'ignition': True, 'speedKmh': 53.692696175492}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 26.37060546875, 'source': 'mta', 'longitude': 10.174418852539, 'latitude': 36.816063560181, 'ignition': True, 'speedKmh': 60.485833794807}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 27.658325195312, 'source': 'mta', 'longitude': 10.174398473511, 'latitude': 36.816104888306, 'ignition': True, 'speedKmh': 68.504177709942}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 41.287170410156, 'source': 'mta', 'longitude': 10.174367030029, 'latitude': 36.816145609131, 'ignition': True, 'speedKmh': 75.50625538939}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 53.653076171875, 'source': 'mta', 'longitude': 10.174323919067, 'latitude': 36.816180609131, 'ignition': True, 'speedKmh': 82.892119848574}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 44.79345703125, 'source': 'mta', 'longitude': 10.174278204956, 'latitude': 36.81622109314, 'ignition': True, 'speedKmh': 88.570473574467}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 42.850219726562, 'source': 'mta', 'longitude': 10.174234472046, 'latitude': 36.816269970703, 'ignition': True, 'speedKmh': 94.601228367045}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 53.472717285156, 'source': 'mta', 'longitude': 10.174181025391, 'latitude': 36.816314159546, 'ignition': True, 'speedKmh': 98.859917577987}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 61.557739257812, 'source': 'mta', 'longitude': 10.174117938232, 'latitude': 36.816350665283, 'ignition': True, 'speedKmh': 105.08545849716}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 61.91943359375, 'source': 'mta', 'longitude': 10.174050957031, 'latitude': 36.816386505737, 'ignition': True, 'speedKmh': 109.91619137824}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 72.974609375, 'source': 'mta', 'longitude': 10.173980926514, 'latitude': 36.816413247681, 'ignition': True, 'speedKmh': 108.55517514135}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 75.351501464844, 'source': 'mta', 'longitude': 10.173907398071, 'latitude': 36.81643394043, 'ignition': True, 'speedKmh': 107.67375788165}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 77.33251953125, 'source': 'mta', 'longitude': 10.173834467163, 'latitude': 36.81645270813, 'ignition': True, 'speedKmh': 102.05116902089}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 77.214172363281, 'source': 'mta', 'longitude': 10.173771772461, 'latitude': 36.816466525269, 'ignition': True, 'speedKmh': 86.289528379729}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 77.373657226562, 'source': 'mta', 'longitude': 10.173716235962, 'latitude': 36.816479343262, 'ignition': True, 'speedKmh': 67.567085463772}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 80.13818359375, 'source': 'mta', 'longitude': 10.173677034912, 'latitude': 36.816486885986, 'ignition': True, 'speedKmh': 50.70378397593}
